entity_id,canonical_key,preferred_name,language_group,variant_count,occurrence_count,all_variants_pipe,first_context,source_refs_sample,known_or_suggested_wikidata_qid,entity_type,status,privacy_review_required,batch2_note
ENT_D09CF34D44,jafar sani,Syed Jafar Sani,en,1,16,Syed Jafar Sani,Asghar bin Syed Jafar Sani,SRC002 p.107 line 10; SRC002 p.107 line 12; SRC002 p.107 line 14; SRC002 p.107 line 16; SRC002 p.107 line 18; SRC002 p.107 line 20; SRC002 p.107 line 22; SRC002 p.107 line 3; SRC002 p.107 line 32; SRC002 p.107 line 53; SRC002 p.107 line 6; SRC002 p.107 line 8; SRC002 p.87 line 34; SRC002 p.87 line 35; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_3492169A0C,prophet muhammad,Prophet Muhammad ( ),en,2,15,Prophet Muhammad | Prophet Muhammad ( ),of the Holy Prophet Muhammad (Peace Be Upon Him and His Family) throughout history.,SRC001 p.10 line 8; SRC001 p.11 line 30; SRC001 p.13 line 24; SRC001 p.14 line 16; SRC001 p.28 line 23; SRC001 p.28 line 9; SRC001 p.8 line 27; SRC002 p.103 line 38,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_69D2568D6F,haider shah,Syed Haider Shah,en,1,15,Syed Haider Shah,→ son of Syed Haider Shah (RA),SRC002 p.11 line 15; SRC002 p.112 line 25; SRC002 p.112 line 27; SRC002 p.112 line 29; SRC002 p.112 line 31; SRC002 p.112 line 33; SRC002 p.112 line 35; SRC002 p.112 line 37; SRC002 p.87 line 6; SRC002 p.87 line 7; SRC002 p.87 lines 6-18; SRC002 p.95 line 23; SRC002 p.98 line 15,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_81A10FFC31,naseer ali,Syed Naseer Ali,en,1,15,Syed Naseer Ali,Syed Naseer Ali (also known as Kallu Chacha),SRC002 p.113 line 34; SRC002 p.113 line 56; SRC002 p.113 line 58; SRC002 p.113 line 60; SRC002 p.113 line 62; SRC002 p.113 line 64; SRC002 p.113 line 66; SRC002 p.114 line 49; SRC002 p.114 line 58; SRC002 p.41 line 25; SRC002 p.44 line 22; SRC002 p.89 line 16; SRC002 p.91 line 14,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_5FACBC2357,abu talib,Hazrat Abu Talib,en,2,14,Hazrat Abu Talib | Abu Talib,A historical and genealogical study focusing on the descendants of Hazrat Abu Talib,SRC001 p.26 line 32; SRC002 p.103 line 17; SRC002 p.104 line 10; SRC002 p.104 line 12; SRC002 p.104 line 14; SRC002 p.104 line 15; SRC002 p.104 line 5; SRC002 p.104 line 8; SRC002 p.43 line 19; SRC002 p.43 line 23; SRC002 p.87 line 44; SRC002 p.87 line 45; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_D67B0C59D6,imam ali raza,Imam Ali Raza,en,1,14,Imam Ali Raza,Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim,SRC002 p.106 line 31; SRC002 p.106 line 34; SRC002 p.106 line 36; SRC002 p.106 line 38; SRC002 p.106 line 40; SRC002 p.106 line 41; SRC002 p.106 line 50; SRC002 p.87 line 15; SRC002 p.87 line 37; SRC002 p.87 line 38; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_174A3B739A,imam zainulabideen,Imam Zain ul Abideen,en,1,14,Imam Zain ul Abideen,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sul,SRC002 p.105 line 10; SRC002 p.105 line 12; SRC002 p.105 line 14; SRC002 p.105 line 16; SRC002 p.105 line 18; SRC002 p.105 line 20; SRC002 p.105 line 22; SRC002 p.105 line 3; SRC002 p.105 line 30; SRC002 p.105 line 6; SRC002 p.105 line 8; SRC002 p.87 line 41; SRC002 p.87 line 42; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_6151F84957,abul hasan ali asghar,Syed Abul Hasan Ali Asghar,en,1,14,Syed Abul Hasan Ali Asghar,Baghdadi bin Syed Abul Hasan Ali Asghar,SRC002 p.107 line 32; SRC002 p.107 line 35; SRC002 p.107 line 37; SRC002 p.107 line 39; SRC002 p.107 line 41; SRC002 p.107 line 43; SRC002 p.107 line 45; SRC002 p.107 line 47; SRC002 p.107 line 49; SRC002 p.107 line 51; SRC002 p.107 line 52; SRC002 p.108 line 10; SRC002 p.108 line 18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_E452E73C2C,nafees ali,Syed Nafees Ali,en,1,14,Syed Nafees Ali,"descendants of Syed Nafees Ali who have lost connection with their religious, genealogical,",SRC002 p.112 line 51; SRC002 p.112 line 53; SRC002 p.112 line 55; SRC002 p.112 line 57; SRC002 p.112 line 59; SRC002 p.113 line 30; SRC002 p.22 line 11; SRC002 p.23 line 27; SRC002 p.5 line 7; SRC002 p.96 line 21; SRC002 p.96 line 4; SRC002 p.98 line 14,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_55369DBCA1,yar shah haider,Syed Yar Shah Haider,en,1,14,Syed Yar Shah Haider,→ son of Syed Yar Shah Haider (RA),SRC002 p.11 line 21; SRC002 p.111 line 38; SRC002 p.111 line 40; SRC002 p.111 line 43; SRC002 p.111 line 45; SRC002 p.111 line 47; SRC002 p.111 line 49; SRC002 p.87 line 12; SRC002 p.87 line 13; SRC002 p.87 lines 6-18; SRC002 p.95 line 21; SRC002 p.98 line 17,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_6737897D35,imam muhammad baqir,Imam Muhammad Baqir,en,1,13,Imam Muhammad Baqir,(AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul,SRC002 p.105 line 30; SRC002 p.105 line 33; SRC002 p.105 line 35; SRC002 p.105 line 37; SRC002 p.105 line 39; SRC002 p.105 line 40; SRC002 p.87 line 16; SRC002 p.87 line 40; SRC002 p.87 line 41; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_16E4D0C954,kabeer shah,Syed Kabeer Shah,en,1,13,Syed Kabeer Shah,Shah s/o Syed Kabeer Shah s/o Syed Sharfuddin Shah s/o Syed Shamsuddin Shah s/o Syed,SRC002 p.111 line 45; SRC002 p.112 line 12; SRC002 p.112 line 14; SRC002 p.112 line 16; SRC002 p.112 line 18; SRC002 p.112 line 20; SRC002 p.112 line 22; SRC002 p.112 line 7; SRC002 p.112 line 9; SRC002 p.98 line 16,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_D8A6C63EEC,qadeer ali naqvi,Syed Qadeer Ali Naqvi,en,1,13,Syed Qadeer Ali Naqvi,Publishing Approval & Supreme Hereditary Custodianship: Syed Qadeer Ali Naqvi,SRC001 p.11 line 18; SRC001 p.23 line 8; SRC001 p.6 line 5; SRC002 p.113 line 46; SRC002 p.114 line 20; SRC002 p.114 line 23; SRC002 p.114 line 25; SRC002 p.114 line 27; SRC002 p.114 line 29; SRC002 p.46 line 34; SRC002 p.98 line 14,,person_or_genealogical_ancestor_candidate,hold_privacy_blp_review,yes,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_FE1182DCC5,shah nizam,Syed Shah Nizam,en,1,12,Syed Shah Nizam,→ son of Syed Shah Nizam (RA),SRC002 p.11 line 22; SRC002 p.111 line 34; SRC002 p.111 line 36; SRC002 p.111 line 38; SRC002 p.111 line 40; SRC002 p.87 line 13; SRC002 p.87 line 14; SRC002 p.87 lines 6-18; SRC002 p.95 line 21; SRC002 p.98 line 17,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_2DE776DCFF,jalaluddin haider lahori,Hazrat Syed Jalaluddin Haider Lahori,en,2,11,Hazrat Syed Jalaluddin Haider Lahori | Syed Jalaluddin Haider Lahori,Hazrat Syed Jalaluddin Haider Lahori (R.A),SRC002 p.111 line 13; SRC002 p.111 line 16; SRC002 p.111 line 18; SRC002 p.111 line 20; SRC002 p.111 line 22; SRC002 p.111 line 24; SRC002 p.111 line 26; SRC002 p.111 line 7,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_B168DE36E4,safiuddin shah bukhari,Hazrat Syed Safiuddin Shah Bukhari,en,2,11,Syed Safiuddin Shah Bukhari | Hazrat Syed Safiuddin Shah Bukhari,"Syed Jalaluddin Haider (R.A), son of Hazrat Syed Safiuddin Shah Bukhari (R.A), and is",SRC001 p.33 line 26; SRC002 p.110 line 61; SRC002 p.111 line 11; SRC002 p.111 line 13; SRC002 p.111 line 27; SRC002 p.111 line 4; SRC002 p.111 line 7; SRC002 p.111 line 9,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_083CA1C019,lu ayy,Lu’ayy,en,1,11,Lu’ayy,Descendants of Ghalib bin Fihr bin Malik | child entry 67.1: Lu’ayy,SRC002 p.102 line 10; SRC002 p.102 line 12; SRC002 p.102 line 14; SRC002 p.102 line 16; SRC002 p.102 line 18; SRC002 p.102 line 20; SRC002 p.102 line 22; SRC002 p.102 line 24; SRC002 p.102 line 25; SRC002 p.102 line 5; SRC002 p.102 line 8,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_CE968E6A4A,abu yusuf ahmed baghdadi,Syed Abu Yusuf Ahmed Baghdadi,en,1,11,Syed Abu Yusuf Ahmed Baghdadi,Bukhari bin Syed Abu Yusuf Ahmed Baghdadi,SRC002 p.108 line 17; SRC002 p.108 line 20; SRC002 p.108 line 22; SRC002 p.108 line 24; SRC002 p.108 line 26; SRC002 p.108 line 28; SRC002 p.108 line 30; SRC002 p.108 line 31; SRC002 p.109 line 18; SRC002 p.109 line 4,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_808A730D9B,ejaz ali,Syed Ejaz Ali,en,1,11,Syed Ejaz Ali,Syed Ejaz Ali,SRC002 p.113 line 40; SRC002 p.114 line 10; SRC002 p.114 line 4; SRC002 p.114 line 6; SRC002 p.114 line 8; SRC002 p.42 line 15; SRC002 p.45 line 34; SRC002 p.89 line 31; SRC002 p.92 line 7,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_4A5E0A5D62,ilmuddin,Syed Ilmuddin,en,1,11,Syed Ilmuddin,Syed Nizamuddin → Syed Safiuddin → Syed Jalaluddin Haider → Syed Ilmuddin →,SRC002 p.110 line 49; SRC002 p.110 line 52; SRC002 p.110 line 54; SRC002 p.110 line 56; SRC002 p.110 line 58; SRC002 p.111 line 26; SRC002 p.111 line 29; SRC002 p.111 line 31; SRC002 p.95 line 20; SRC002 p.98 line 18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_F900F392FC,jahangir shah,Syed Jahangir Shah,en,1,11,Syed Jahangir Shah,→ son of Syed Jahangir Shah (RA),SRC002 p.11 line 20; SRC002 p.111 line 47; SRC002 p.111 line 49; SRC002 p.111 line 52; SRC002 p.111 line 54; SRC002 p.111 line 56; SRC002 p.87 line 11; SRC002 p.87 line 12; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_DEBCD67347,mahmood asghar bukhari,Syed Mehmood Asghar Bukhari,en,1,11,Syed Mehmood Asghar Bukhari,Syed Mehmood Asghar Bukhari,SRC002 p.108 line 20; SRC002 p.109 line 11; SRC002 p.109 line 13; SRC002 p.109 line 15; SRC002 p.109 line 17; SRC002 p.109 line 31; SRC002 p.109 line 4; SRC002 p.109 line 7; SRC002 p.109 line 9,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_F683C96F4B,abdul muttalib shaybah,Abdul Muttalib (Shaybah),en,1,10,Abdul Muttalib (Shaybah),Descendants of Abdul Muttalib (Shaybah) bin Hashim bin Abd Manaf,SRC002 p.103 line 13; SRC002 p.103 line 15; SRC002 p.103 line 17; SRC002 p.103 line 19; SRC002 p.103 line 21; SRC002 p.103 line 23; SRC002 p.103 line 25; SRC002 p.103 line 27; SRC002 p.103 line 29; SRC002 p.103 line 31,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_543D924833,prophet muhammad bin abdullah,Prophet Muhammad ( )bin Hazrat Abdullah,en,1,10,Prophet Muhammad ( )bin Hazrat Abdullah,Descendants of Prophet Muhammad ( )ﷺbin Hazrat Abdullah (R.A) bin Abdul Muttalib (Shaybah) (Forefather of Aal-e-Rasul SAW),SRC002 p.103 line 39; SRC002 p.103 line 42; SRC002 p.103 line 44; SRC002 p.103 line 46; SRC002 p.103 line 48; SRC002 p.103 line 52; SRC002 p.103 line 54; SRC002 p.103 line 56; SRC002 p.103 line 58; SRC002 p.104 line 4,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_4677A8CF6A,abdullah idrees baghdadi,Syed Abdullah Idrees Baghdadi,en,1,10,Syed Abdullah Idrees Baghdadi,Syed Abdullah Idrees Baghdadi,SRC002 p.107 line 52; SRC002 p.107 line 55; SRC002 p.108 line 17; SRC002 p.108 line 32; SRC002 p.108 line 4; SRC002 p.108 line 6; SRC002 p.108 line 8; SRC002 p.108 line 9; SRC002 p.109 line 5,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_BD00CEB34F,ilmuddin bukhari,Syed Ilmuddin Bukhari,en,1,10,Syed Ilmuddin Bukhari,Nasiruddin → Syed Ilmuddin Bukhari → Syed Jalaluddin → Syed Aleemuddin →,SRC002 p.110 line 23; SRC002 p.110 line 27; SRC002 p.110 line 30; SRC002 p.110 line 32; SRC002 p.110 line 34; SRC002 p.110 line 36; SRC002 p.110 line 38; SRC002 p.95 line 19,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_26093C15EC,qutb shah,Syed Qutb Shah,en,1,10,Syed Qutb Shah,→ son of Syed Qutb Shah (RA),SRC002 p.11 line 16; SRC002 p.112 line 18; SRC002 p.112 line 22; SRC002 p.112 line 25; SRC002 p.112 line 27; SRC002 p.87 line 7; SRC002 p.87 line 8; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_996374B863,shabab ali,Syed Shabab Ali,en,1,10,Syed Shabab Ali,Syed Shabab Ali,SRC002 p.113 line 36; SRC002 p.113 line 68; SRC002 p.113 line 70; SRC002 p.115 line 4; SRC002 p.42 line 11; SRC002 p.44 line 38; SRC002 p.89 line 27; SRC002 p.91 line 28,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_351A3245D1,shakir ali,Syed Shakir Ali,en,1,10,Syed Shakir Ali,Syed Shakir Ali directly to a shrine in Firozabad may not correspond to his own burial or,SRC001 p.19 line 35; SRC001 p.19 line 37; SRC002 p.112 line 40; SRC002 p.112 line 44; SRC002 p.112 line 47; SRC002 p.112 line 49; SRC002 p.96 line 3; SRC002 p.98 line 15,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_FB17CBDCDB,fihr quraysh,Fihr (Quraysh),en,1,9,Fihr (Quraysh),Descendants of Malik bin al-Nadr bin Kinana | child entry 65.1: Fihr (Quraysh),SRC002 p.101 line 45; SRC002 p.101 line 46; SRC002 p.101 line 49; SRC002 p.101 line 51; SRC002 p.101 line 53; SRC002 p.101 line 55; SRC002 p.101 line 57; SRC002 p.101 line 59; SRC002 p.101 line 61,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_5880BB84DA,muhammad,Hazrat Syed Muhammad,en,3,9,Syed Muhammad | Hazrat Syed Muhammad | Muhammad,Bukhari R.A bin Syed Ali Al-Moeed R.A bin Syed Jafar R.A bin Syed Muhammad,SRC001 p.22 line 12; SRC001 p.32 line 6; SRC002 p.106 line 48; SRC002 p.107 line 16; SRC002 p.108 line 24,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_802CAAE044,imam ali naqi,Imam Ali Naqi AS,en,2,9,Imam Ali Naqi | Imam Ali Naqi AS,→ Ja‘far Sani (descendant of Imam Ali Naqi),SRC002 p.39 line 22; SRC002 p.80 line 19; SRC002 p.80 line 26; SRC002 p.85 line 10; SRC002 p.87 line 35; SRC002 p.87 line 36; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_62203E42CE,mahmood,Sayyid Mahmud,en,3,9,Syed Mehmood | Sayyid Mahmud | Syed Mahmood,1.1.1.1 Syed Mehmood,SRC002 p.108 line 35; SRC002 p.109 line 24; SRC002 p.7 line 12; SRC002 p.87 line 30; SRC002 p.87 line 31; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_9AE74F0ED6,adnan shakir ali,Syed Adnan Shakir Ali,en,1,9,Syed Adnan Shakir Ali,Syed Adnan Shakir Ali,SRC002 p.113 line 60; SRC002 p.114 line 52; SRC002 p.114 line 54; SRC002 p.44 line 30; SRC002 p.91 line 20,,person_or_genealogical_ancestor_candidate,hold_privacy_blp_review,yes,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_915B13726B,ashiq ali,Syed Ashiq Ali,en,1,9,Syed Ashiq Ali,Syed Umeed Ali bin Syed Muhabbat Ali R.A bin Syed Nafees Ali R.A bin Syed Ashiq Ali,SRC001 p.21 line 35; SRC002 p.112 line 47; SRC002 p.112 line 49; SRC002 p.112 line 51; SRC002 p.112 line 53; SRC002 p.96 line 3; SRC002 p.98 line 15,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
